-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 05/15/2020 through 06/17/2020 in LST
Location: Latitude  23.2523   Longitude 77.4311 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 475.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_KT             CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_KT,T2M,RH2M,WS10M
2020,5,15,0,0.0,-999.0,31.37,34.78,2.97
2020,5,15,1,0.0,-999.0,30.74,34.3,3.1
2020,5,15,2,0.0,-999.0,30.04,33.92,3.15
2020,5,15,3,0.0,-999.0,29.3,34.5,3.16
2020,5,15,4,0.0,-999.0,28.56,36.38,2.97
2020,5,15,5,29.05,0.3,28.28,37.94,2.81
2020,5,15,6,208.57,0.53,29.9,33.86,3.07
2020,5,15,7,416.92,0.62,33.85,25.1,2.75
2020,5,15,8,626.53,0.68,36.52,20.52,2.09
2020,5,15,9,799.25,0.71,38.56,18.21,2.41
2020,5,15,10,922.38,0.73,40.25,17.01,2.86
2020,5,15,11,928.53,0.7,41.51,16.5,3.01
2020,5,15,12,712.62,0.55,42.36,15.99,3.06
2020,5,15,13,564.15,0.47,42.77,15.66,3.12
2020,5,15,14,471.48,0.45,42.68,15.38,3.28
2020,5,15,15,348.58,0.43,42.16,15.21,3.38
2020,5,15,16,192.68,0.35,41.27,15.31,3.47
2020,5,15,17,66.28,0.26,39.9,15.95,3.3
2020,5,15,18,2.8,0.15,36.6,23.59,2.3
2020,5,15,19,0.0,-999.0,35.3,25.47,2.59
2020,5,15,20,0.0,-999.0,34.41,26.38,2.69
2020,5,15,21,0.0,-999.0,33.49,27.72,2.71
2020,5,15,22,0.0,-999.0,32.59,29.07,2.67
2020,5,15,23,0.0,-999.0,31.7,30.3,2.63
2020,5,16,0,0.0,-999.0,30.8,31.54,2.61
2020,5,16,1,0.0,-999.0,29.95,33.11,2.58
2020,5,16,2,0.0,-999.0,29.2,34.49,2.56
2020,5,16,3,0.0,-999.0,28.47,36.06,2.5
2020,5,16,4,0.0,-999.0,27.77,37.66,2.41
2020,5,16,5,30.92,0.32,27.84,37.73,2.38
2020,5,16,6,209.9,0.54,30.41,30.77,3.72
2020,5,16,7,428.35,0.63,34.7,23.14,4.7
2020,5,16,8,636.83,0.69,37.65,19.53,5.02
2020,5,16,9,836.2,0.74,39.36,18.19,4.67
2020,5,16,10,870.65,0.69,40.71,17.34,4.12
2020,5,16,11,840.22,0.64,41.72,16.56,3.6
2020,5,16,12,745.62,0.57,42.09,16.11,3.15
2020,5,16,13,654.42,0.54,42.3,15.65,3.11
2020,5,16,14,497.12,0.48,42.01,15.4,3.33
2020,5,16,15,395.02,0.48,41.16,15.44,3.61
2020,5,16,16,218.93,0.4,40.54,15.48,3.77
2020,5,16,17,75.35,0.29,39.25,16.37,3.5
2020,5,16,18,3.17,0.17,36.46,22.38,2.3
2020,5,16,19,0.0,-999.0,35.14,24.61,2.51
2020,5,16,20,0.0,-999.0,34.28,25.81,2.53
2020,5,16,21,0.0,-999.0,33.52,27.11,2.46
2020,5,16,22,0.0,-999.0,32.73,28.34,2.4
2020,5,16,23,0.0,-999.0,31.95,29.38,2.38
2020,5,17,0,0.0,-999.0,31.2,30.75,2.35
2020,5,17,1,0.0,-999.0,30.59,32.65,2.32
2020,5,17,2,0.0,-999.0,29.95,34.15,2.38
2020,5,17,3,0.0,-999.0,29.14,35.83,2.41
2020,5,17,4,0.0,-999.0,28.34,37.51,2.26
2020,5,17,5,29.27,0.3,28.19,38.53,2.07
2020,5,17,6,211.2,0.54,30.1,32.65,2.71
2020,5,17,7,428.55,0.63,34.3,22.52,3.13
2020,5,17,8,648.45,0.7,36.88,18.81,3.37
2020,5,17,9,824.53,0.73,38.67,17.29,3.31
2020,5,17,10,936.75,0.74,40.13,16.28,3.04
2020,5,17,11,973.92,0.74,41.17,15.82,2.6
2020,5,17,12,776.92,0.6,41.82,15.5,2.11
2020,5,17,13,598.35,0.5,42.11,15.03,1.81
2020,5,17,14,623.72,0.6,42.04,14.5,1.83
2020,5,17,15,475.12,0.58,41.39,14.35,2.19
2020,5,17,16,269.3,0.49,40.51,14.83,2.62
2020,5,17,17,101.72,0.39,39.33,15.78,2.87
2020,5,17,18,4.55,0.23,36.78,22.62,2.03
2020,5,17,19,0.0,-999.0,35.47,24.45,2.39
2020,5,17,20,0.0,-999.0,34.65,24.61,2.61
2020,5,17,21,0.0,-999.0,33.81,24.88,2.79
2020,5,17,22,0.0,-999.0,32.96,25.04,2.94
2020,5,17,23,0.0,-999.0,32.05,25.05,3.14
2020,5,18,0,0.0,-999.0,31.07,25.37,3.5
2020,5,18,1,0.0,-999.0,30.04,26.65,4.4
2020,5,18,2,0.0,-999.0,29.45,27.42,5.84
2020,5,18,3,0.0,-999.0,28.81,28.57,6.6
2020,5,18,4,0.0,-999.0,28.12,29.87,6.83
2020,5,18,5,29.33,0.29,27.85,30.28,7.0
2020,5,18,6,195.35,0.5,29.37,27.07,6.97
2020,5,18,7,402.42,0.59,32.87,20.77,6.72
2020,5,18,8,643.22,0.69,36.07,17.62,6.16
2020,5,18,9,795.17,0.71,38.17,16.25,5.44
2020,5,18,10,918.45,0.73,39.75,15.52,5.01
2020,5,18,11,963.7,0.73,40.61,15.23,4.73
2020,5,18,12,848.7,0.65,41.01,15.06,4.51
2020,5,18,13,718.5,0.59,41.12,15.01,4.38
2020,5,18,14,613.25,0.59,40.87,15.24,4.46
2020,5,18,15,411.75,0.5,40.39,15.49,4.75
2020,5,18,16,243.85,0.44,39.35,16.1,5.09
2020,5,18,17,101.95,0.39,38.16,16.9,4.83
2020,5,18,18,4.88,0.24,35.84,20.11,3.11
2020,5,18,19,0.0,-999.0,34.32,22.31,3.04
2020,5,18,20,0.0,-999.0,33.24,23.77,3.0
2020,5,18,21,0.0,-999.0,32.36,25.09,2.95
2020,5,18,22,0.0,-999.0,31.56,26.64,2.8
2020,5,18,23,0.0,-999.0,30.89,28.03,2.45
2020,5,19,0,0.0,-999.0,30.53,28.64,2.14
2020,5,19,1,0.0,-999.0,29.51,30.24,2.32
2020,5,19,2,0.0,-999.0,28.07,32.07,2.89
2020,5,19,3,0.0,-999.0,27.02,32.67,3.25
2020,5,19,4,0.0,-999.0,26.11,32.88,3.39
2020,5,19,5,31.05,0.3,26.07,31.95,3.67
2020,5,19,6,204.7,0.52,28.81,26.97,5.18
2020,5,19,7,424.7,0.63,32.99,19.78,5.47
2020,5,19,8,621.58,0.67,36.55,13.25,5.94
2020,5,19,9,785.38,0.7,38.53,10.86,5.56
2020,5,19,10,953.47,0.76,39.9,9.67,5.31
